Job_ID,Project_Name,Sector,Investment_RM_Billion,Jobs_Created,Deadline_Slot
J1,E&E Manufacturing (Penang),Manufacturing,85.4,73939,2
J2,ICT & Data Centres,Services,63.7,52732,1
J3,Real Estate Development,Property,15.5,12000,3
J4,Distributive Trade,Trade,6.7,8500,2
J5,Financial Services,Finance,2.2,4200,1
J6,INV Battery Separator (Penang),Manufacturing,3.2,2032,2
J7,Xinyi Solar PV Glass,Green Energy,5.0,1800,3
J8,EVE Energy Li-Ion Batteries,Manufacturing,2.0,1500,1
J9,Green Technology Projects,Green Energy,1.3,900,3
J10,Mining (Primary Sector),Primary,8.8,661,2
